sku,question,answer
NS-011,Aroma Zen Humidifier,"Battery: N/A (AC adapter). Connectivity: none — manual controls only. Dimensions: 8 × 8 × 10 in; 1.2 L tank. Water resistance: N/A — ultrasonic humidifier. Compatibility: tap or distilled water recommended. Box contents: unit, AC adapter, cleaning brush. Use case: bedroom, office aromatherapy. Limitations: essential oils optional — use Vega-approved oils only; not a medical device."
NS-012,Smart Lumen Lamp,"Battery: N/A (AC powered). Connectivity: Wi-Fi 2.4 GHz; Alexa, Google Home, Vega app. Dimensions: 10 × 5 in base; 18 in height adjustable. Water resistance: N/A — indoor only. Compatibility: iOS/Android app; 2.4 GHz Wi-Fi required. Box contents: lamp, power adapter. Use case: desk, nursery, ambient lighting. Limitations: no Thread/Matter; 5 GHz Wi-Fi not supported."
NS-013,Compact Brew Coffee Maker,"Battery: N/A (AC). Connectivity: none. Dimensions: 10 × 8 × 14 in; 12-cup thermal carafe. Water resistance: N/A. Compatibility: standard #4 filters (10 included). Box contents: brewer, thermal carafe, filter starter pack. Use case: daily drip coffee, programmable mornings. Limitations: not compatible with K-Cups; carafe is hand-wash recommended."
NS-014,Nova Thermal Bottle,"Battery: N/A. Connectivity: N/A. Dimensions: 10.5 × 3 in; 24 oz capacity. Water resistance: leak-proof lid (not submersible). Compatibility: hot and cold beverages. Box contents: bottle, spare gasket. Use case: commute, gym, hiking. Limitations: not microwave or dishwasher safe; keeps heat 12 h / cold 24 h under normal use."
NS-015,Gaming Headset Pro,"Battery: N/A (wired USB + 3.5 mm). Connectivity: USB-A, 3.5 mm; 7.1 virtual surround via PC software. Dimensions: 8 × 7 × 4 in; 12 oz. Water resistance: not rated. Compatibility: PC, PlayStation, Xbox, Switch (3.5 mm). Box contents: headset, detachable mic, USB splitter, 3.5 mm cable. Use case: gaming, streaming, voice chat. Limitations: surround software PC-only; no Bluetooth."
NS-016,Wireless Earbuds Pro,"Battery: 8 h buds; 28 h with case; Qi wireless charging case. Connectivity: Bluetooth 5.3 multipoint; AAC, aptX. Dimensions: in-ear; case 2.2 × 2.2 × 1 in. Water resistance: IPX4. Compatibility: iOS, Android, laptops. Box contents: earbuds, case, 4 ear-tip sizes, USB-C cable. Use case: commute, ANC focus. Limitations: transparency mode reduces bass; fit critical for ANC performance."
NS-017,Vinyl Turntable Mini,"Battery: N/A (AC). Connectivity: Bluetooth 5.0 out; built-in stereo speakers. Dimensions: 13 × 11 × 4 in; plays 33/45 RPM. Water resistance: N/A. Compatibility: 7 and 12 in records; BT headphones/speakers. Box contents: turntable, dust cover, 45 adapter. Use case: casual vinyl listening, decor. Limitations: built-in speakers are mono-ish; audiophile setups should use line/Bluetooth out."
NS-018,Kids GPS Watch,"Battery: up to 2 days typical; GPS active ~8 hours. Connectivity: 4G LTE (demo SIM not included); GPS; Vega Family app. Dimensions: 1.6 in display; child wrist 130–170 mm. Water resistance: IP67 splash/rain. Compatibility: iOS/Android parent app. Box contents: watch, charging cable, screen protector. Use case: school commute, safe zones. Limitations: requires active data plan; games disabled in school mode."
NS-019,Enduro Running Watch,"Battery: up to 14 days smart mode; 80 hours GPS ultra mode. Connectivity: Bluetooth 5.3; ANT+ sensors. Dimensions: 47 mm polymer case; 1.4 in MIP display. Water resistance: 10 ATM; MIL-STD-810G. Compatibility: Strava, Vega app, chest straps. Box contents: watch, silicone band, USB cable. Use case: trail running, ultras. Limitations: no music storage; maps require phone sync."
NS-020,Sleep Tracker Band,"Battery: up to 7 nights per charge. Connectivity: Bluetooth 5.0; sync on wake. Dimensions: 0.4 in wide soft strap; one size adjustable. Water resistance: IPX7 (shower-safe). Compatibility: Vega Sleep app iOS/Android. Box contents: band, magnetic charger. Use case: overnight HRV and sleep stages. Limitations: no daytime smartwatch features; not a medical sleep apnea device."
NS-021,PureBreeze Air Purifier,"Battery: N/A (AC). Connectivity: Wi-Fi 2.4 GHz optional app alerts. Dimensions: 12 × 12 × 24 in; covers ~300 sq ft. Water resistance: N/A. Compatibility: true HEPA H13 filter (replace ~6–12 months). Box contents: unit, pre-installed filter, manual. Use case: bedroom, office allergies. Limitations: not for heavy smoke remediation; replacement filters sold separately."
NS-022,Robot Vacuum Lite,"Battery: up to 100 min runtime; auto-recharge. Connectivity: Wi-Fi 2.4 GHz; Vega Home app. Dimensions: 12.8 in diameter × 3.2 in height. Water resistance: N/A — dry vacuum only. Compatibility: hard floor, low-pile rug; cliff sensors. Box contents: robot, dock, boundary strips, tool. Use case: daily floor maintenance. Limitations: currently out of stock; not for thick shag carpet or wet messes."
NS-023,Cast Iron Skillet Set,"Battery: N/A. Connectivity: N/A. Dimensions: 8, 10, 12 in skillets; ~15 lb set. Water resistance: N/A — cast iron rusts if soaked. Compatibility: all cooktops including induction; oven-safe to 500°F. Box contents: 3 skillets, care guide. Use case: searing, baking, camping. Limitations: hand-wash only; heavier than non-stick pans."
NS-024,Barista Espresso Machine,"Battery: N/A (AC). Connectivity: none. Dimensions: 12 × 10 × 14 in; 1.5 L water tank. Water resistance: N/A. Compatibility: ground espresso (pressurized portafilter). Box contents: machine, portafilter, tamper, milk pitcher. Use case: home espresso and lattes. Limitations: not pod-compatible; steam wand learning curve for latte art."
NS-025,Scented Candle Gift Set,"Battery: N/A. Connectivity: N/A. Dimensions: 3 tins × 4 oz each; gift box 9 × 6 × 2 in. Water resistance: N/A. Compatibility: N/A. Box contents: cedar, vanilla bean, citrus candles; matches not included. Use case: gifts, ambiance. Limitations: burn within sight; ~25 h burn time per tin; soy wax — trim wick to ¼ in."
NS-026,Beam Portable Projector,"Battery: up to 2.5 h built-in; AC powered for long sessions. Connectivity: Wi-Fi, HDMI, Bluetooth audio out; built-in apps (demo). Dimensions: 6 × 4 × 2 in; 80–120 in throw. Water resistance: N/A. Compatibility: streaming apps, HDMI laptops, BT speakers. Box contents: projector, remote, USB-C power, tripod thread. Use case: travel movies, dorm. Limitations: 720p native; daylight viewing needs dim room."
NS-027,Earbuds Max ANC,"Battery: 10 h ANC on; 36 h with case; wireless charging. Connectivity: Bluetooth 5.3 multipoint; spatial audio on supported sources. Dimensions: in-ear; case 2.4 × 2.4 × 1.1 in. Water resistance: IPX4. Compatibility: iOS spatial audio; Android AAC. Box contents: earbuds, case, USB-C, ear tips S/M/L. Use case: travel ANC, focus work. Limitations: spatial audio content-dependent; case is pocketable but not ultra-compact."
NS-028,Wellness Smart Scale,"Battery: 4 × AAA (~12 months). Connectivity: Wi-Fi 2.4 GHz sync to Vega app. Dimensions: 12 × 12 × 1 in; max 400 lb. Water resistance: glass top — wipe clean only. Compatibility: iOS/Android; up to 8 users. Box contents: scale, batteries, feet pads. Use case: weight and body composition trends. Limitations: not for pacemaker users; bare feet required for bioimpedance."
